window_id,mean,std,min,max,q25,q75,label,source_file
0,-0.23451183780161164,1.1655886270307083,-1.9481841911477995,2.8428490774605515,-1.2425208905476375,0.6768828510769677,downstairs,eva-downstairs1.csv
1,0.3340429966147067,2.075350181667365,-2.052506947181658,8.462701540277099,-1.2094142813727995,1.2025558258612312,downstairs,eva-downstairs1.csv
2,-0.564617267047729,1.0610812071964097,-2.1206074545121867,2.1169984905534753,-1.4209646832991456,0.19937171517939717,downstairs,eva-downstairs1.csv
3,0.2717221085842814,1.0274957443120818,-1.6729420060322868,3.8598454277006207,-0.41253718925241734,0.7393233759595663,downstairs,eva-downstairs1.csv
4,0.6509065393169225,1.1574029880737025,-1.070952415592621,3.5776047383466842,-0.40994270155611984,1.5256640503304633,downstairs,eva-downstairs1.csv
5,-0.28845844018717337,1.1977804963687904,-2.11289256844129,2.4142623855202547,-1.3223370288251002,0.473918743101267,downstairs,eva-downstairs1.csv
6,0.15400761871920396,1.089736324794981,-1.8158151276534633,2.621887015905981,-0.5211886853183342,0.8080900736927887,downstairs,eva-downstairs1.csv
7,-0.33203477661659586,0.9488910522811301,-1.9891090488342549,2.5146253504077,-0.9653763604300065,0.2830223910775009,downstairs,eva-downstairs1.csv
8,0.3316807729939492,1.2580131065827294,-1.5594865348214932,4.430341888407383,-0.7415025222259446,1.0329020535160107,downstairs,eva-downstairs1.csv
9,0.21879133667310768,2.1420320300852382,-1.7860027373585685,8.000615816030525,-1.0884310216241764,0.2805905029412055,downstairs,eva-downstairs1.csv
10,-0.3592344670428121,0.7943548319868606,-1.780763778802535,1.679037168689431,-1.0117452042576702,0.03568630543158316,downstairs,eva-downstairs1.csv
11,0.45172588092273797,1.03929065659788,-0.8917442397706746,3.6773894751190093,-0.3321375782139723,1.0474979429841154,downstairs,eva-downstairs1.csv
12,-0.5439534012161172,1.0111839053438711,-2.209846995143621,2.0456839997363323,-1.3888937304741955,0.11502364449897487,downstairs,eva-downstairs1.csv
13,0.5676360964051311,1.314751133053783,-1.877282920669042,4.786392172408338,-0.3337804167819821,1.1697951491497998,downstairs,eva-downstairs1.csv
